opportunity_id,sales_agent,product,account,deal_stage,engage_date,close_date,close_value
OPP-0290,Wilburn Weyer,MG Special,,Engaging,2023-10-23,,
OPP-0291,Wilburn Weyer,GTX Plus Pro,Halcyon Software,Lost,2023-08-28,2023-10-11,
OPP-0292,Anna Boston,GTX Basic,,Prospecting,,,
OPP-0293,Vernita Chega,GTXPro,Halcyon Software,Prospecting,,,
OPP-0294,Anna Boston,GTX Plus Basic,Vantage Telecom,Won,2023-02-25,2023-03-19,1263.67
OPP-0295,Boris Tarwater,MG Special,Granite Medical,Won,2023-01-24,2023-02-04,56.55
OPP-0296,Vernita Chega,GTX Plus Basic,Granite Medical,Won,2023-02-07,2023-04-17,1074.24
OPP-0297,Elease Farler,GTX Plus Basic,Marlow Group,Lost,2023-03-02,2023-03-19,
OPP-0298,Kami Berrey,GTX Plus Basic,Trueline Entertainment,Lost,2023-06-23,2023-08-13,
OPP-0299,Wilburn Weyer,GTX Pro,Northwind Traders,Won,2023-01-21,2023-01-30,4121.06
OPP-0300,Boris Tarwater,MG Special,Marlow Group,Won,2023-08-22,2023-11-12,63.65
